comment_id,comment_id_db,issue_key,group_number,body,timestamp,updated_at,author_login,author_name,love,joy,sadness,anger,surprise,fear
13094995,839644,HIVE-2383,2,"Passed tests and committed to trunk.  Thanks Charles!
",2011-08-31T23:42:00.839+0000,2011-08-31T23:42:00.839+0000,jvs,John Sichi,1.0,0.33333334,0.0,,,
13697274,821561,HIVE-4774,2,"Committed to branch. Thanks, Remus!",2013-07-01T22:29:43.757+0000,2013-07-01T22:29:43.757+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13637103,824949,HIVE-4318,2,"Committed to trunk. Thanks, Gunther!",2013-04-20T03:33:40.886+0000,2013-04-20T03:33:40.886+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13617507,825434,HIVE-4258,2,Committed. Thanks Navis,2013-03-29T16:56:26.162+0000,2013-03-29T16:56:26.162+0000,namit,Namit Jain,1.0,0.0,0.0,,,
13620961,825480,HIVE-4252,2,"Committed to trunk. Thanks, Thejas!",2013-04-03T14:42:43.884+0000,2013-04-03T14:42:43.884+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13420987,832728,HIVE-3261,2,"Committed, thanks Namit.",2012-07-23T21:58:52.073+0000,2012-07-23T21:58:52.073+0000,kevinwilfong,Kevin Wilfong,1.0,0.0,0.0,,,
13400300,833158,HIVE-3195,2,"Carl - Sorry I missed that though I did see it on the logs 2x, the other being this one. Fixed in this patch.",2012-06-25T06:19:48.455+0000,2012-06-25T06:19:48.455+0000,qwertymaniac,Harsh J,0.0,0.0,1.0,,,
13400838,833354,HIVE-3165,2,Committed to trunk. Thanks Tim!,2012-06-25T20:00:15.246+0000,2012-06-25T20:00:15.246+0000,cwsteinbach,Carl Steinbach,1.0,0.33333334,0.0,,,
13769549,816973,HIVE-5292,2,"Committed to trunk. Thanks, Navis!
[~thejas] I will recommend inclusion of this bug fix in 0.12 as well.",2013-09-17T14:27:30.212+0000,2013-09-17T14:27:30.212+0000,ashutoshc,Ashutosh Chauhan,1.0,0.0,0.0,,,
13794612,817237,HIVE-5268,2,"Sorry, my bad. Let me upload what I have.",2013-10-14T23:13:23.232+0000,2013-10-14T23:13:23.232+0000,thiruvel,Thiruvel Thirumoolan,0.0,0.0,1.0,,,
13753748,819836,HIVE-4964,2,"Committed to trunk. Thanks, Harish!",2013-08-29T15:45:08.935+0000,2013-08-29T15:45:08.935+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13749563,819864,HIVE-4963,2,"Committed to trunk. Thanks, Harish!",2013-08-25T07:52:11.605+0000,2013-08-25T07:52:11.605+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
12981149,853021,HIVE-1865,2,Committed! Thanks Namit!,2011-01-13T06:20:33.841+0000,2011-01-13T06:20:33.841+0000,he yongqiang,He Yongqiang,1.0,0.33333334,0.0,,,
12965014,853348,HIVE-1804,2,Committed! Thanks Liyin!,2010-11-30T00:06:51.650+0000,2010-11-30T00:06:51.650+0000,he yongqiang,He Yongqiang,1.0,0.33333334,0.0,,,
12928688,853560,HIVE-1767,2,Committed. Thanks Yongqiang,2010-11-05T17:12:49.308+0000,2010-11-05T17:12:49.308+0000,namit,Namit Jain,1.0,0.0,0.0,,,
12889966,855716,HIVE-1471,2,"committed to trunk. thanks Ning.
",2010-07-19T18:44:15.486+0000,2010-07-19T18:44:15.486+0000,jsensarma,Joydeep Sen Sarma,1.0,0.0,0.0,,,
12733453,861182,HIVE-609,2,Committed. Thanks Namit!,2009-07-21T03:18:10.732+0000,2009-07-21T03:18:10.732+0000,zshao,Zheng Shao,1.0,0.33333334,0.0,,,
12712318,861885,HIVE-507,2,Committed. Thanks Namit.,2009-05-23T00:13:08.039+0000,2009-05-23T00:13:08.039+0000,zshao,Zheng Shao,1.0,0.0,0.0,,,
13084339,840403,HIVE-2282,2,Committed. Thanks Kevin!,2011-08-12T19:57:57.972+0000,2011-08-12T19:57:57.972+0000,sdong,Siying Dong,1.0,0.33333334,0.0,,,
13070640,850510,HIVE-2236,2,"siying, can you rebase this patch? thanks!",2011-07-25T17:55:44.494+0000,2011-07-25T17:55:44.494+0000,he yongqiang,He Yongqiang,1.0,0.33333334,0.0,,,
13104062,850631,HIVE-2217,2,"Committed, thanks Jiayan!",2011-09-13T23:02:45.806+0000,2011-09-13T23:02:45.806+0000,he yongqiang,He Yongqiang,1.0,0.33333334,0.0,,,
